Employee Number,Username/LastName,Password
0,Matibag,Admin
0,Giltendez,Admin
0,Parocha,Admin
0,Roldan,Admin
0,Caparas,Admin
0,Ocampo,Admin
1,Garcia,motorPH1
2,Lim,motorPH2
3,Aquino,motorPH3
4,Reyes,motorPH4
5,Hernandez,motorPH5
6,Villanueva,motorPH6
7,San Jose,motorPH7
8,Romualdez,motorPH8
9,Atienza,motorPH9
10,Alvaro,motorPH10
11,Salcedo,motorPH11
12,Lopez,motorPH12
13,Farala,motorPH13
14,Martinez,motorPH14
15,Romualdez,motorPH15
16,Mata,motorPH16
17,De Leon,motorPH17
18,San Jose,motorPH18
19,Rosario,motorPH19
20,Bautista,motorPH20
21,Lazaro,motorPH21
22,Delos Santos,motorPH22
23,Santos,motorPH23
24,Del Rosario,motorPH24
25,Tolentino,motorPH25
26,Gutierrez,motorPH26
27,Manalaysay,motorPH27
28,Villegas,motorPH28
29,Ramos,motorPH29
30,Maceda,motorPH30
31,Aguilar,motorPH31
32,Castro,motorPH32
33,Martinez,motorPH33
34,Santos,motorPH34
